
🚀 AUCTIONUSDT TÜM VERİ GEÇMİŞİ TARANIYOR (AHENK ŞABLONU)...

================================================================================
BULUNAN AHENK OLAYLARI (4H < 35 & 1H < 35 & T1)
================================================================================
TARİH        | FİYAT    | 1H_E  | 4H_E  | POTANSİYEL (24H)
--------------------------------------------------------------------------------
03 Mar 23:45 | 5.62     | 31.3  | 32.6  | **  +1.4%**
08 Mar 15:30 | 5.32     | 32.0  | 34.7  | **  +0.8%**
08 Mar 21:15 | 5.25     | 31.2  | 31.4  | **  +2.1%**
09 Mar 02:00 | 5.17     | 29.6  | 31.8  | **  +3.7%**
10 Mar 02:30 | 4.88     | 29.1  | 31.2  | **  +5.9%**
10 Mar 12:45 | 4.70     | 26.3  | 28.9  | ** +10.0%**
22 Apr 00:00 | 5.23     | 25.7  | 31.0  | **  +6.9%**
09 May 07:45 | 4.97     | 27.5  | 32.9  | **  +3.6%**
10 May 05:30 | 4.90     | 34.6  | 30.5  | **  +6.7%**
10 May 10:00 | 4.85     | 33.9  | 30.1  | **  +7.8%**
06 Jun 06:30 | 4.37     | 27.7  | 30.4  | **  +3.4%**
06 Jun 14:15 | 4.37     | 32.8  | 28.9  | **  +3.4%**
10 Jun 09:15 | 3.79     | 26.2  | 32.1  | **  +3.4%**
10 Jun 17:00 | 3.82     | 32.4  | 30.4  | **  +3.1%**
20 Jul 16:45 | 4.56     | 28.5  | 34.3  | ** +22.6%**
05 Aug 05:45 | 5.58     | 23.5  | 34.7  | **  +3.4%**
07 Aug 18:00 | 5.10     | 30.1  | 28.8  | **  +6.3%**
16 Aug 00:00 | 4.65     | 21.2  | 28.9  | **  -0.2%**
16 Aug 06:45 | 4.52     | 21.4  | 26.9  | **  +3.1%**
16 Aug 16:45 | 4.48     | 30.9  | 21.9  | ** +17.2%**
17 Aug 01:00 | 4.32     | 29.1  | 19.9  | ** +21.5%**
03 Jan 16:15 | 23.71    | 22.6  | 34.2  | **  +3.8%**
04 Jan 01:45 | 22.85    | 22.0  | 30.8  | **  +7.7%**
04 Jan 11:30 | 23.22    | 31.1  | 29.2  | **  +5.9%**
08 Jan 10:30 | 19.13    | 21.8  | 33.6  | ** +10.8%**
09 Jan 18:15 | 18.29    | 34.4  | 33.0  | ** +19.6%**
09 Jan 21:00 | 18.50    | 33.7  | 33.6  | ** +18.3%**
23 Jan 15:00 | 20.56    | 33.0  | 33.1  | ** +11.7%**
23 Feb 20:30 | 27.58    | 31.3  | 31.3  | **  +1.3%**
24 Feb 02:45 | 26.88    | 28.3  | 29.8  | **  +3.9%**
16 Mar 21:00 | 21.40    | 34.0  | 32.3  | **  +6.8%**
19 Mar 09:30 | 19.50    | 29.6  | 35.0  | **  +7.4%**
13 Apr 02:30 | 16.72    | 25.6  | 29.9  | **  +6.9%**
13 Apr 02:45 | 16.67    | 25.6  | 29.9  | **  +7.2%**
13 Apr 22:45 | 15.77    | 34.0  | 25.8  | **  +6.0%**
01 May 11:30 | 14.85    | 33.9  | 32.5  | **  +6.6%**
01 May 11:45 | 14.99    | 33.9  | 32.5  | **  +5.6%**
13 May 20:00 | 14.34    | 19.6  | 29.5  | **  +2.8%**
14 May 04:15 | 14.40    | 28.5  | 26.7  | **  +3.6%**
14 May 05:00 | 14.45    | 29.7  | 26.7  | **  +3.9%**
14 May 07:30 | 14.37    | 31.2  | 26.7  | **  +4.5%**
20 May 00:30 | 13.67    | 22.2  | 32.9  | ** +19.0%**
20 May 02:15 | 13.62    | 22.3  | 32.9  | ** +20.0%**
04 Jun 04:00 | 20.53    | 23.8  | 34.5  | **  +7.0%**
18 Jun 14:30 | 17.16    | 25.0  | 34.8  | **  +2.4%**
18 Jun 16:45 | 16.69    | 24.6  | 32.4  | **  +5.3%**
18 Jun 17:00 | 16.79    | 24.0  | 32.4  | **  +4.6%**
18 Jun 19:45 | 16.72    | 24.7  | 32.4  | **  +5.1%**
19 Jun 00:45 | 17.07    | 34.4  | 31.2  | **  +2.9%**
23 Jun 19:15 | 15.89    | 28.3  | 34.2  | **  +0.9%**
24 Jun 00:15 | 15.74    | 29.8  | 31.9  | **  +5.4%**
24 Jun 00:30 | 15.79    | 29.8  | 31.9  | **  +5.1%**
24 Jun 03:00 | 15.78    | 31.1  | 31.9  | **  +5.4%**
24 Jun 07:00 | 15.43    | 33.5  | 31.2  | **  +8.2%**
24 Jun 07:15 | 15.58    | 33.5  | 31.2  | **  +7.2%**
04 Jul 15:00 | 14.33    | 24.4  | 33.5  | **  +2.0%**
04 Jul 20:45 | 14.20    | 25.2  | 28.0  | **  +1.4%**
05 Jul 05:00 | 12.33    | 19.9  | 23.3  | **  +8.3%**
04 Aug 19:15 | 13.86    | 27.0  | 32.5  | **  +7.4%**
05 Aug 07:15 | 12.83    | 33.8  | 31.4  | **  +8.3%**
26 Aug 22:30 | 16.10    | 30.3  | 33.3  | **  +0.8%**
27 Aug 13:45 | 15.68    | 27.9  | 29.4  | **  +1.3%**
28 Aug 03:15 | 14.91    | 24.7  | 26.0  | **  +3.7%**
28 Aug 08:30 | 15.00    | 30.1  | 26.3  | **  +4.0%**
01 Sep 18:15 | 14.09    | 35.0  | 34.8  | **  +1.5%**
03 Sep 19:45 | 13.29    | 29.0  | 34.9  | **  +1.6%**
04 Sep 04:00 | 13.01    | 27.7  | 30.4  | **  +3.2%**
04 Sep 06:15 | 12.97    | 27.8  | 30.4  | **  +3.5%**
02 Oct 15:15 | 13.32    | 35.0  | 32.1  | **  +1.4%**
02 Oct 22:45 | 12.95    | 34.8  | 29.9  | **  +1.9%**
03 Nov 16:30 | 11.47    | 32.4  | 30.4  | **  +3.4%**
10 Dec 01:45 | 16.39    | 27.9  | 33.0  | **  +0.0%**
10 Dec 04:30 | 16.03    | 25.7  | 30.8  | **  +1.7%**
10 Dec 19:15 | 14.90    | 29.4  | 25.5  | ** +12.2%**
08 Jan 08:15 | 15.62    | 22.1  | 30.1  | **  +1.3%**
08 Jan 13:15 | 15.32    | 26.1  | 28.6  | **  +4.2%**
08 Jan 18:30 | 15.20    | 31.4  | 26.7  | **  +5.1%**
08 Jan 20:30 | 15.12    | 32.3  | 27.0  | **  +5.6%**
13 Jan 14:30 | 13.70    | 28.3  | 33.6  | **  +8.4%**
02 Feb 13:45 | 10.91    | 28.1  | 32.8  | **  +0.5%**
02 Feb 23:45 | 9.46     | 20.6  | 27.4  | **  +5.2%**
03 Feb 00:45 | 8.99     | 19.1  | 24.4  | ** +10.7%**
03 Feb 05:15 | 8.07     | 17.6  | 23.9  | ** +23.3%**
04 Mar 14:15 | 11.46    | 31.5  | 34.7  | **  +8.8%**
04 Mar 14:30 | 11.71    | 31.5  | 34.7  | **  +6.5%**
24 Mar 06:15 | 20.98    | 26.1  | 34.6  | **  +7.4%**
24 Mar 08:45 | 20.83    | 27.3  | 33.4  | **  +8.2%**
25 Mar 10:45 | 20.20    | 34.7  | 29.4  | **  +0.4%**
25 Mar 11:00 | 20.12    | 34.4  | 29.4  | **  +0.5%**
25 Mar 11:45 | 20.18    | 34.4  | 29.4  | **  +0.0%**
25 Mar 17:30 | 19.57    | 29.1  | 28.2  | **  +1.9%**
25 Mar 20:00 | 19.31    | 29.3  | 28.3  | **  +3.3%**
25 Mar 21:00 | 19.31    | 30.7  | 28.3  | **  +3.3%**
26 Mar 20:15 | 18.60    | 33.7  | 28.1  | **  +2.2%**
