
🚀 AUCTIONUSDT COMPREHENSIVE SCAN (PHYSICS + VOLUME + ATR)...

====================================================================================================
KAPSAMLI TARAMA SONUÇLARI (MACRO < 45 & RISING | FLARE + 2x VOL)
====================================================================================================
TARİH        | FİYAT    | 1H_E  | ATR%  | VBOY  | V100  | POTANSİYEL     
----------------------------------------------------------------------------------------------------
11 Jan 18:15 | 4.22     | 37.3  | 0.68  | 0.0   | 0     | **  +6.9%**
11 Jan 18:30 | 4.21     | 37.3  | 0.70  | 0.1   | 1     | **  +7.1%**
18 Jan 21:30 | 4.71     | 33.5  | 0.96  | 3.0   | 53    | **  +2.5%**
25 Jan 12:15 | 5.16     | 40.7  | 0.53  | 1.0   | 2     | **  +5.4%**
25 Jan 12:30 | 5.19     | 40.7  | 0.51  | 0.9   | 2     | **  +4.8%**
31 Jan 07:15 | 5.23     | 41.1  | 0.48  | 0.6   | 1     | **  +4.0%**
08 Feb 21:45 | 6.05     | 39.4  | 0.55  | 3.9   | 35    | **  +1.5%**
09 Feb 07:15 | 5.86     | 36.9  | 0.57  | 0.1   | 2     | **  +4.8%**
10 Feb 13:15 | 5.61     | 43.9  | 0.93  | 8.6   | 62    | ** +12.3%**
21 Feb 14:30 | 6.86     | 36.5  | 0.89  | 2.3   | 7     | **  +5.5%**
25 Feb 12:00 | 6.11     | 31.6  | 0.34  | 0.3   | 1     | ** +14.1%**
02 Mar 18:45 | 6.04     | 31.6  | 0.41  | 0.8   | 9     | **  +1.3%**
03 Mar 08:15 | 5.72     | 31.4  | 0.27  | 0.4   | 1     | **  +0.5%**
04 Mar 08:15 | 5.65     | 39.2  | 0.35  | 12.5  | 100   | **  +1.2%**
08 Mar 10:30 | 5.35     | 31.7  | 0.35  | 3.5   | 26    | **  +0.2%**
09 Mar 11:00 | 5.26     | 43.4  | 0.42  | 0.1   | 1     | **  +1.9%**
11 Mar 17:45 | 4.83     | 42.0  | 0.44  | 2.1   | 12    | **  +3.7%**
20 Mar 21:00 | 5.85     | 37.1  | 0.56  | 3.0   | 48    | **  +0.2%**
28 Mar 00:00 | 5.56     | 45.0  | 0.85  | 5.9   | 8     | **  +9.5%**
02 Apr 16:30 | 5.54     | 41.9  | 0.76  | 0.4   | 4     | **  +7.2%**
08 Apr 01:45 | 5.51     | 38.3  | 0.52  | 0.4   | 6     | ** +10.7%**
15 Apr 07:30 | 5.83     | 42.5  | 0.36  | 2.5   | 6     | **  +5.1%**
15 Apr 09:30 | 5.85     | 44.2  | 0.40  | 2.7   | 7     | **  +4.8%**
17 Apr 12:45 | 5.86     | 41.5  | 0.33  | 0.5   | 0     | **  +3.9%**
20 Apr 22:00 | 5.58     | 37.1  | 0.49  | 1.6   | 8     | **  +0.9%**
30 Apr 05:15 | 5.43     | 43.8  | 0.20  | 0.3   | 1     | **  +8.3%**
01 May 06:30 | 5.32     | 38.3  | 0.26  | 0.2   | 0     | **  +2.3%**
10 May 05:30 | 4.90     | 34.6  | 0.35  | 0.4   | 5     | **  +6.7%**
24 May 07:45 | 4.88     | 38.8  | 0.53  | 7.5   | 81    | **  +0.0%**
30 May 08:30 | 4.82     | 42.3  | 0.31  | 1.7   | 27    | **  +1.2%**
31 May 10:45 | 4.73     | 39.6  | 0.27  | 1.7   | 39    | **  +1.9%**
06 Jun 06:30 | 4.37     | 27.7  | 0.41  | 0.0   | 0     | **  +3.4%**
09 Jun 05:00 | 4.24     | 44.7  | 0.13  | 2.5   | 3     | **  +3.5%**
10 Jun 17:00 | 3.82     | 32.4  | 0.56  | 4.5   | 12    | **  +3.1%**
14 Jun 09:15 | 3.74     | 41.3  | 0.42  | 1.3   | 1     | **  +1.1%**
28 Jun 10:00 | 3.90     | 31.5  | 0.31  | 0.1   | 2     | **  +0.8%**
28 Jun 14:30 | 3.88     | 31.7  | 0.42  | 0.0   | 0     | **  +0.8%**
29 Jun 06:30 | 3.82     | 35.8  | 0.26  | 2.5   | 13    | **  +5.8%**
30 Jun 02:15 | 3.82     | 43.5  | 0.41  | 0.0   | 0     | **  +5.8%**
06 Jul 18:00 | 3.95     | 41.3  | 0.61  | 0.2   | 3     | **  +1.5%**
12 Jul 18:45 | 4.47     | 36.0  | 0.50  | 0.7   | 5     | **  +5.1%**
13 Jul 05:45 | 4.39     | 34.7  | 0.26  | 0.2   | 0     | **  +7.1%**
14 Jul 22:15 | 4.51     | 43.3  | 0.51  | 3.9   | 67    | ** +21.1%**
19 Jul 00:45 | 4.78     | 33.5  | 0.28  | 0.2   | 1     | **  +0.4%**
20 Jul 05:45 | 4.67     | 37.0  | 0.18  | 0.5   | 2     | **  +6.2%**
20 Jul 16:45 | 4.56     | 28.5  | 0.75  | 0.7   | 9     | ** +22.6%**
23 Jul 09:15 | 5.03     | 44.2  | 0.30  | 2.7   | 35    | ** +11.7%**
04 Aug 06:15 | 6.22     | 44.1  | 0.78  | 5.1   | 80    | **  +0.3%**
06 Aug 02:15 | 5.56     | 40.3  | 0.66  | 1.1   | 20    | **  +2.7%**
12 Aug 04:30 | 5.10     | 42.7  | 0.48  | 0.6   | 6     | **  +0.2%**
12 Aug 10:30 | 5.09     | 40.9  | 0.46  | 1.1   | 10    | **  +0.6%**
16 Aug 06:45 | 4.52     | 21.4  | 0.58  | 0.4   | 8     | **  +3.1%**
22 Aug 07:45 | 4.30     | 42.3  | 0.35  | 0.8   | 6     | **  +4.2%**
04 Sep 22:45 | 4.46     | 41.9  | 0.62  | 4.2   | 19    | **  +3.8%**
05 Sep 07:00 | 4.44     | 43.6  | 0.50  | 1.7   | 13    | **  +5.4%**
11 Sep 08:45 | 4.50     | 38.2  | 0.68  | 1.1   | 9     | **  +2.0%**
24 Sep 01:30 | 5.76     | 43.6  | 0.92  | 1.8   | 22    | **  +3.5%**
27 Sep 18:15 | 5.20     | 43.9  | 0.62  | 6.0   | 100   | ** +17.1%**
06 Oct 00:00 | 5.21     | 40.6  | 0.41  | 1.2   | 14    | **  +3.5%**
09 Oct 04:00 | 5.35     | 40.6  | 0.47  | 2.3   | 6     | **  +0.4%**
12 Oct 20:15 | 5.37     | 44.5  | 0.53  | 3.0   | 42    | **  +2.8%**
