symbol,total_expansion_days,tier_1_count,tier_2_count,tier_3_count,avg_expansion
FORMUSDT,38,4,10,24,0.2077
MDTUSDT,156,33,118,5,0.2053
AUSDT,6,1,4,1,0.1574
STORJUSDT,73,17,52,4,0.1878
SAHARAUSDT,15,8,5,2,0.1959
VANRYUSDT,110,38,3,69,0.1688
OPUSDT,88,25,49,14,0.1497
SUNUSDT,51,8,13,30,0.2296
RENDERUSDT,41,11,4,26,0.1526
PENDLEUSDT,106,25,77,4,0.1555
CRVUSDT,94,28,64,2,0.1525
OGUSDT,124,10,81,33,0.2342
ETHFIUSDT,86,6,19,61,0.1719
USTCUSDT,113,7,15,91,0.2174
ALCXUSDT,97,4,21,72,0.2103
BCHUSDT,49,3,7,39,0.1637
BMTUSDT,35,15,12,8,0.1755
FLOKIUSDT,126,10,22,94,0.1827
HBARUSDT,83,7,20,56,0.1736
HYPERUSDT,34,1,32,1,0.3246
SANTOSUSDT,98,11,6,81,0.2021
IOTAUSDT,55,1,13,41,0.1791
KSMUSDT,58,16,3,39,0.1767
WANUSDT,69,3,12,54,0.1705
WUSDT,73,15,3,55,0.1598
ADXUSDT,67,43,19,5,0.2172
SANDUSDT,49,9,39,1,0.1646
ARBUSDT,61,22,28,11,0.1443
KAITOUSDT,48,4,40,4,0.2042
CKBUSDT,117,5,79,33,0.1988
TKOUSDT,80,55,22,3,0.1621
CGPTUSDT,42,24,17,1,0.1395
BANKUSDT,11,2,8,1,0.1662
1000CATUSDT,53,9,39,5,0.1834
MIRAUSDT,13,2,8,3,0.1819
KAVAUSDT,59,1,43,15,0.1586
SYNUSDT,133,22,5,106,0.1955
HOTUSDT,71,18,5,48,0.161
SOLVUSDT,48,19,23,6,0.1535
OGNUSDT,79,2,57,20,0.1935
TRXUSDT,8,1,3,4,0.2473
WALUSDT,8,3,1,4,0.2017
BATUSDT,48,4,16,28,0.1512
SUSHIUSDT,75,12,2,61,0.1716
ORDIUSDT,107,47,13,47,0.171
BANANAUSDT,70,17,2,51,0.1847
OPENUSDT,20,7,11,2,0.2071
