symbol,signal_time,signal_type,atr_pct,rsi,peak_gain,max_drawdown,spread,tier
0GUSDT,2025-10-05 00:00:00+00:00,TREND,43.11,59.6,6.61,-4.13,11.2,BRONZE
0GUSDT,2025-10-06 20:00:00+00:00,TREND,27.03,58.27,0.75,-7.1,8.45,IRON
0GUSDT,2025-10-13 04:00:00+00:00,TREND,17.8,58.39,6.94,0.05,6.89,BRONZE
0GUSDT,2025-10-20 20:00:00+00:00,NINJA,14.21,63.59,18.38,-1.8,20.54,SILVER
0GUSDT,2025-11-03 08:00:00+00:00,NINJA,17.41,71.52,13.11,-20.78,42.78,SILVER
0GUSDT,2025-11-04 08:00:00+00:00,TREND,18.26,61.08,4.79,-16.82,25.98,IRON
0GUSDT,2025-11-08 00:00:00+00:00,TREND,18.38,65.93,72.15,-0.26,72.59,DIAMOND
0GUSDT,2025-11-09 04:00:00+00:00,NINJA,18.23,73.47,2.6,-16.77,23.28,IRON
0GUSDT,2025-11-10 04:00:00+00:00,TREND,20.57,64.37,1.01,-13.83,17.22,IRON
0GUSDT,2025-11-16 00:00:00+00:00,TREND,25.67,64.16,9.43,-9.96,21.53,BRONZE
0GUSDT,2025-11-22 00:00:00+00:00,TREND,17.74,60.25,19.07,-5.47,25.96,SILVER
0GUSDT,2025-11-23 00:00:00+00:00,NINJA,16.37,72.2,18.24,-11.56,33.69,SILVER
0GUSDT,2025-11-24 00:00:00+00:00,TREND,16.09,56.3,0.23,-10.28,11.71,IRON
0GUSDT,2025-11-27 20:00:00+00:00,NINJA,14.04,64.39,2.12,-3.34,5.65,IRON
0GUSDT,2025-11-29 12:00:00+00:00,NINJA,13.54,63.32,2.2,-6.18,8.93,IRON
0GUSDT,2025-12-29 00:00:00+00:00,NINJA,12.57,65.65,20.64,-0.43,21.15,GOLD
0GUSDT,2026-01-03 00:00:00+00:00,NINJA,12.89,67.44,7.72,-1.42,9.27,BRONZE
1000CATUSDT,2025-01-02 12:00:00+00:00,NINJA,12.94,61.07,1.62,-7.31,9.63,IRON
1000CATUSDT,2025-01-23 00:00:00+00:00,NINJA,14.83,60.31,1.54,-10.12,12.97,IRON
1000CATUSDT,2025-01-31 00:00:00+00:00,TREND,17.48,57.69,13.64,-0.13,13.79,SILVER
1000CATUSDT,2025-02-01 00:00:00+00:00,TREND,21.22,57.29,2.85,-20.29,29.03,IRON
1000CATUSDT,2025-02-05 08:00:00+00:00,TREND,22.37,68.27,1.87,-6.78,9.28,IRON
1000CATUSDT,2025-02-08 16:00:00+00:00,TREND,20.81,65.77,21.38,-3.49,25.76,GOLD
1000CATUSDT,2025-02-09 16:00:00+00:00,TREND,22.57,56.3,5.4,-5.31,11.3,BRONZE
1000CATUSDT,2025-02-10 16:00:00+00:00,TREND,20.29,64.3,16.36,-0.7,17.18,SILVER
1000CATUSDT,2025-02-11 20:00:00+00:00,TREND,19.68,60.2,32.43,-6.96,42.34,DIAMOND
1000CATUSDT,2025-02-13 04:00:00+00:00,NINJA,21.05,72.73,6.09,-19.82,32.32,BRONZE
1000CATUSDT,2025-02-14 04:00:00+00:00,TREND,20.27,55.88,10.34,-5.25,16.45,SILVER
1000CATUSDT,2025-02-20 20:00:00+00:00,TREND,19.58,57.82,8.14,-4.39,13.11,BRONZE
1000CATUSDT,2025-02-22 12:00:00+00:00,TREND,17.45,56.27,13.22,-0.54,13.84,SILVER
1000CATUSDT,2025-02-27 04:00:00+00:00,NINJA,13.7,70.03,2.65,-10.41,14.58,IRON
1000CATUSDT,2025-02-28 16:00:00+00:00,NINJA,12.84,60.33,6.59,-5.79,13.14,BRONZE
1000CATUSDT,2025-03-02 08:00:00+00:00,NINJA,12.57,63.23,12.7,-2.03,15.04,SILVER
1000CATUSDT,2025-03-06 08:00:00+00:00,TREND,16.64,58.02,1.56,-9.15,11.79,IRON
1000CATUSDT,2025-03-13 00:00:00+00:00,NINJA,14.14,64.5,3.3,-3.43,6.97,IRON
1000CATUSDT,2025-03-14 04:00:00+00:00,NINJA,12.64,64.02,5.16,-0.54,5.73,BRONZE
1000CATUSDT,2025-05-12 00:00:00+00:00,NINJA,13.88,70.47,13.7,-13.7,31.74,SILVER
1000CATUSDT,2025-05-13 04:00:00+00:00,NINJA,13.88,63.21,31.99,-0.1,32.12,DIAMOND
1000CATUSDT,2025-05-19 12:00:00+00:00,TREND,21.39,55.58,8.28,-1.03,9.41,BRONZE
1000CATUSDT,2025-05-21 16:00:00+00:00,TREND,20.65,64.71,11.44,-1.74,13.41,SILVER
1000CATUSDT,2025-05-22 16:00:00+00:00,TREND,19.17,69.41,11.04,-6.59,18.87,SILVER
1000CATUSDT,2025-05-26 04:00:00+00:00,TREND,15.32,56.52,2.84,-6.58,10.09,IRON
1000CATUSDT,2025-05-27 20:00:00+00:00,NINJA,12.83,61.5,2.14,-5.76,8.38,IRON
1000CATUSDT,2025-06-02 04:00:00+00:00,NINJA,12.16,60.65,8.02,-3.04,11.41,BRONZE
1000CATUSDT,2025-07-26 12:00:00+00:00,NINJA,14.07,60.85,4.05,-1.23,5.34,IRON
1000CATUSDT,2025-07-27 12:00:00+00:00,NINJA,12.32,69.34,67.26,-1.19,69.29,DIAMOND
1000CATUSDT,2025-07-28 20:00:00+00:00,NINJA,13.66,67.21,2.73,-15.08,20.98,IRON
1000CATUSDT,2025-07-29 20:00:00+00:00,TREND,15.22,60.48,16.52,-3.69,20.99,SILVER
1000CATUSDT,2025-08-04 04:00:00+00:00,TREND,16.25,59.88,16.11,-0.88,17.15,SILVER
1000CATUSDT,2025-08-05 04:00:00+00:00,TREND,17.92,65.35,1.24,-9.62,12.01,IRON
