symbol,date,tier,category,score,max_gain
1000000BOBUSDT,2025-07-08,B-,TREND,87,0.8710601719197797
1000000MOGUSDT,2025-05-08,B,TREND,92,29.557539881609294
1000000MOGUSDT,2025-06-10,B,TREND,87,11.326485037963385
1000000MOGUSDT,2025-07-10,B,TREND,92,37.26580193535105
1000000MOGUSDT,2025-10-02,B,TREND,79,9.349881796690319
1000BONKUSDT,2025-04-12,B,TREND,92,10.149834317821638
1000BONKUSDT,2025-07-05,B,TREND,95,62.20825852782765
1000BONKUSDT,2025-07-06,B,TREND,88,78.57661583151778
1000BONKUSDT,2025-07-16,B,TREND,95,5.720723053814658
1000BONKUSDT,2025-09-12,B,TREND,95,7.145640146497301
1000CATUSDT,2025-05-09,C+,TREND,93,27.904761904761898
1000FLOKIUSDT,2025-04-25,B,TREND,90,17.962433138450052
1000FLOKIUSDT,2025-05-09,B,TREND,88,23.830980274356662
1000FLOKIUSDT,2025-07-09,B,TREND,77,61.548527808069785
1000LUNCUSDT,2025-02-15,B-,NINJA,62,1.2066556585799582
1000LUNCUSDT,2025-02-17,B-,NINJA,59,1.913066111400319
1000LUNCUSDT,2025-02-20,B-,NINJA,79,3.488833091053256
1000LUNCUSDT,2025-02-21,B-,NINJA,64,2.895170142700332
1000LUNCUSDT,2025-02-23,B-,NINJA,50,0.6099251455503385
1000LUNCUSDT,2025-02-26,B-,NINJA,64,7.515564779128359
1000LUNCUSDT,2025-03-16,B-,NINJA,78,10.505083104728108
1000LUNCUSDT,2025-03-18,B-,NINJA,78,8.784749801429692
1000LUNCUSDT,2025-04-01,B-,NINJA,62,3.179094540612515
1000LUNCUSDT,2025-04-17,B-,NINJA,61,15.050225147211638
1000LUNCUSDT,2025-04-21,B-,NINJA,83,9.098374117260644
1000LUNCUSDT,2025-05-29,B-,NINJA,67,1.4295103516266838
1000LUNCUSDT,2025-06-01,B-,NINJA,66,7.168458781362008
1000LUNCUSDT,2025-06-14,B-,NINJA,77,4.408039182570511
1000LUNCUSDT,2025-06-16,B-,NINJA,77,1.171156098377124
1000LUNCUSDT,2025-06-19,B-,NINJA,55,1.6382014639247044
1000LUNCUSDT,2025-06-20,B-,NINJA,50,2.9115934356802597
1000LUNCUSDT,2025-07-06,B-,NINJA,58,15.92031029619183
1000LUNCUSDT,2025-07-07,B-,NINJA,69,17.28505173028898
1000LUNCUSDT,2025-07-10,B-,TREND,95,12.9503253451833
1000LUNCUSDT,2025-08-11,B-,NINJA,60,5.897945659377091
1000LUNCUSDT,2025-08-13,B-,NINJA,66,2.403075937199617
1000LUNCUSDT,2025-08-14,B-,NINJA,71,9.979353062629048
1000LUNCUSDT,2025-08-21,B-,NINJA,67,7.17420661715058
1000LUNCUSDT,2025-08-27,B-,NINJA,62,3.122362869198314
1000LUNCUSDT,2025-08-31,B-,NINJA,66,4.845060777264187
1000LUNCUSDT,2025-09-02,B-,NINJA,63,4.079905197223632
1000LUNCUSDT,2025-09-06,B-,NINJA,71,6.052899287894187
1000LUNCUSDT,2025-09-21,B-,NINJA,50,0.3213802435724
1000LUNCUSDT,2025-10-30,B-,NINJA,51,5.732027704800569
1000LUNCUSDT,2025-11-01,B-,NINJA,76,0.31847133757962887
1000LUNCUSDT,2025-12-24,B-,NINJA,54,19.728761514841352
1000LUNCUSDT,2025-12-25,B-,NINJA,75,16.68329177057357
1000PEPEUSDT,2025-07-10,B,TREND,98,17.9131542044777
