Tier,Pattern,Hits,Contribution%,Avg_DD
A,UNKNOWN,244,96.1,-9.36
A,GRIND,4,1.6,-16.45
A,GUILLOTINE,3,1.2,-18.19
A,CRASH,2,0.8,-47.3
A,SURFER,1,0.4,-12.1
B+,UNKNOWN,1924,98.4,-10.5
B+,GUILLOTINE,16,0.8,-19.68
B+,GRIND,7,0.4,-25.31
B+,CRASH,7,0.4,-48.26
B+,SURFER,2,0.1,-9.13
B,UNKNOWN,7504,99.3,-10.5
B,GUILLOTINE,20,0.3,-20.38
B,GRIND,19,0.3,-12.12
B,SURFER,6,0.1,-8.48
B,CRASH,5,0.1,-54.95
B,PHOENIX,2,0.0,-5.35
B,SUPERNOVA,1,0.0,-3.84
B-,UNKNOWN,12564,99.8,-10.48
B-,GUILLOTINE,12,0.1,-29.9
B-,GRIND,6,0.0,-12.46
B-,CRASH,4,0.0,-54.54
C+,UNKNOWN,12374,99.9,-10.48
C+,GRIND,4,0.0,-11.95
C+,GUILLOTINE,3,0.0,-24.79
C,UNKNOWN,7952,100.0,-10.58
C-,UNKNOWN,1050,100.0,-10.24
D,UNKNOWN,286,100.0,-11.99
