Date,Timestamp,Ignition_Type,M15_Vol,M15_RSI,Follow_Through_2bar
2025-11-30,08:30:00,STANDARD,1.97,52.6,0.57
2025-11-30,08:45:00,STANDARD,1.58,64.9,0.07
2025-11-30,13:15:00,STANDARD,1.8,67.5,-0.14
2025-12-02,01:00:00,EXPLOSIVE,3.12,59.5,-0.23
2025-12-02,07:30:00,EXPLOSIVE,3.45,57.6,-0.08
2025-12-02,08:30:00,EXPLOSIVE,9.73,65.9,-0.23
2025-12-02,14:15:00,STANDARD,1.6,54.1,0.84
2025-12-02,14:30:00,STANDARD,1.66,67.9,1.97
2025-12-02,14:45:00,STANDARD,1.84,67.9,1.43
2025-12-02,15:00:00,STANDARD,2.57,95.1,1.41
2025-12-02,15:30:00,STANDARD,1.95,95.1,0.07
