Metric,Success,Fail,Delta
V-Mom_4h_peak,2.682019974793706,0.6855624443909933,-1.9964575304027128
V-Mom_4h_close,-0.3353509653130077,0.34467481894826824,0.6800257842612759
Vol_Ratio_4h_peak,3.682019974793706,1.6855624443909933,-1.9964575304027128
Vol_Ratio_4h_close,0.6646490346869923,1.3446748189482682,0.6800257842612759
Wick_Ratio_4h_avg,0.2763763602827006,0.2912160208212837,0.014839660538583155
Ang_Price_4h_close,5.499612703330747,-2.558635394456288,-8.058248097787036
V-Mom_1h_peak,4.77880530312967,2.8728610923904387,-1.9059442107392313
V-Mom_1h_close,-0.7151243964737344,0.37146316191291895,1.0865875583866533
Vol_Ratio_1h_peak,5.77880530312967,3.8728610923904387,-1.9059442107392313
Vol_Ratio_1h_close,0.28487560352626556,1.371463161912919,1.0865875583866533
Wick_Ratio_1h_avg,0.28138224542004087,0.18218765507368428,-0.09919459034635658
Ang_Price_1h_close,-0.2197802197802301,-1.931330472102999,-1.7115502523227688
Gap_VMom_4h,3.017370940106714,0.3408876254427251,-2.676483314663989
Gap_VolRatio_4h,3.017370940106714,0.3408876254427251,-2.676483314663989
