Date,DailyGatePass,IntradayCancelApplied,CancelReason,TriggerChecked,FinalDecision,Audit_Verdict,Ignition_Type
2025-10-29T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-10-30T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-10-31T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-01T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-02T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-03T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-04T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-05T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-06T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-07T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-08T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-09T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-10T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-11T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-12T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-13T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-14T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-15T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-16T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-17T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-18T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-19T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-20T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-21T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-22T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-23T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-24T00:00:00+00:00,True,True,CANCEL_4H_WICK (0.30 > 0.28),False,NO,RED,NONE
2025-11-25T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-26T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-27T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-28T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-29T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-11-30T00:00:00+00:00,True,True,CANCEL_4H_WICK (0.29 > 0.28),False,NO,RED,NONE
2025-12-01T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-12-02T00:00:00+00:00,True,False,NONE,True,NET_ADAY,ONY,NONE
2025-12-03T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-12-04T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
2025-12-05T00:00:00+00:00,False,False,NONE,False,NO,RED,NONE
