Symbol,Status,NetAday_R1,TP_R1,FP_R1,NetAday_R2,TP_R2,FP_R2,FP_Kill_Type,FP_Kill_Params,PerfectFakeDates,Notes
0GUSDT,LOCKED,4,1,3,0,0,0,Standard,,None,
1000CATUSDT,LOCKED,4,1,3,2,1,1,Count,Count>=9,2026-01-21,
1000CHEEMSUSDT,LOCKED,4,1,3,1,0,1,Count,Count>=9,2025-12-05,
1000SATSUSDT,LOCKED,4,1,3,1,1,0,Count,Count>=11,None,
1INCHUSDT,LOCKED,4,1,3,1,1,0,Count,Count>=6,None,
1MBABYDOGEUSDT,LOCKED,4,1,3,1,1,0,Count,Count>=11,None,
2ZUSDT,SKIPPED,4,1,3,0,0,0,Standard,,None,INSUFFICIENT_HISTORY: Starts 2025-10-02
A2ZUSDT,SKIPPED,0,0,0,0,0,0,Standard,,None,INSUFFICIENT_HISTORY: Starts 2025-07-30
AAVEUSDT,LOCKED,4,1,3,1,1,0,FT2,FT2>=0.75%,None,
ACAUSDT,LOCKED,4,1,3,2,1,1,FT2,FT2>=0.00%,2025-11-07,
