Date,Symbol,Reasoning,Max % Move,Close % Move,Hit >=10%?
2026-01-01,FORMUSDT,Structural match with historical FORMUSDT expansion DNA.,3.97,-0.9,NO
2026-01-01,MDTUSDT,Structural match with historical MDTUSDT expansion DNA.,2.03,1.95,NO
2026-01-01,AUSDT,Structural match with historical AUSDT expansion DNA.,3.98,3.41,NO
2026-01-01,STORJUSDT,Structural match with historical STORJUSDT expansion DNA.,3.43,0.7,NO
2026-01-01,SAHARAUSDT,Structural match with historical SAHARAUSDT expansion DNA.,3.88,3.72,NO
2026-01-01,OPUSDT,Structural match with historical OPUSDT expansion DNA.,11.2,10.83,YES
2026-01-01,SUNUSDT,Structural match with historical SUNUSDT expansion DNA.,1.81,1.7,NO
2026-01-01,RENDERUSDT,Structural match with historical RENDERUSDT expansion DNA.,7.85,7.46,NO
2026-01-01,PENDLEUSDT,Structural match with historical PENDLEUSDT expansion DNA.,8.87,7.91,NO
2026-01-01,CRVUSDT,Structural match with historical CRVUSDT expansion DNA.,9.52,9.49,NO
2026-01-01,OGUSDT,Structural match with historical OGUSDT expansion DNA.,1.24,0.58,NO
2026-01-01,ETHFIUSDT,Structural match with historical ETHFIUSDT expansion DNA.,8.14,7.41,NO
2026-01-01,USTCUSDT,Structural match with historical USTCUSDT expansion DNA.,2.5,1.25,NO
2026-01-01,ALCXUSDT,Structural match with historical ALCXUSDT expansion DNA.,3.21,2.28,NO
2026-01-01,BCHUSDT,Structural match with historical BCHUSDT expansion DNA.,1.17,-1.05,NO
2026-01-01,FLOKIUSDT,Structural match with historical FLOKIUSDT expansion DNA.,13.6,12.23,YES
2026-01-01,HBARUSDT,Structural match with historical HBARUSDT expansion DNA.,7.66,7.53,NO
2026-01-01,HYPERUSDT,Structural match with historical HYPERUSDT expansion DNA.,4.22,3.79,NO
2026-01-01,SANTOSUSDT,Structural match with historical SANTOSUSDT expansion DNA.,1.13,-0.17,NO
2026-01-01,IOTAUSDT,Structural match with historical IOTAUSDT expansion DNA.,5.32,4.94,NO
2026-01-01,KSMUSDT,Structural match with historical KSMUSDT expansion DNA.,16.84,10.83,YES
2026-01-01,WANUSDT,Structural match with historical WANUSDT expansion DNA.,3.62,3.62,NO
2026-01-01,WUSDT,Structural match with historical WUSDT expansion DNA.,6.08,5.17,NO
2026-01-01,ADXUSDT,Structural match with historical ADXUSDT expansion DNA.,5.01,2.65,NO
2026-01-01,SANDUSDT,Structural match with historical SANDUSDT expansion DNA.,8.18,7.54,NO
2026-01-01,ARBUSDT,Structural match with historical ARBUSDT expansion DNA.,8.3,7.66,NO
2026-01-01,KAITOUSDT,Structural match with historical KAITOUSDT expansion DNA.,2.58,2.23,NO
2026-01-01,CKBUSDT,Structural match with historical CKBUSDT expansion DNA.,4.48,4.27,NO
