Date,Symbol,Matched Tier,Explanation,Max %,Close %,Hit >=10%?
2026-01-01,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),5.01,2.65,NO
2026-01-01,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),8.3,7.66,NO
2026-01-01,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),3.77,3.16,NO
2026-01-01,BANKUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),3.38,0.68,NO
2026-01-01,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),9.55,8.58,NO
2026-01-01,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),3.76,3.44,NO
2026-01-02,STORJUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),2.48,2.17,NO
2026-01-02,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),4.57,3.88,NO
2026-01-02,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),5.36,5.11,NO
2026-01-03,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.7,1.58,NO
2026-01-04,BMTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.4,0.0,NO
2026-01-04,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),1.42,-0.18,NO
2026-01-04,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.47),4.5,3.44,NO
2026-01-04,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),9.6,2.86,NO
2026-01-04,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),4.68,2.2,NO
2026-01-04,1000CATUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),22.11,13.53,YES
2026-01-04,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.48),1.96,0.46,NO
2026-01-05,AUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),5.67,4.6,NO
2026-01-05,ADXUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.45),1.42,-0.62,NO
2026-01-05,CGPTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),7.91,5.31,NO
2026-01-05,OPENUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.46),4.08,2.7,NO
2026-01-06,ARBUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),2.99,0.59,NO
2026-01-06,TKOUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),3.21,1.07,NO
2026-01-06,HOTUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.44),5.35,1.43,NO
2026-01-06,ORDIUSDT,Tier 1,Match with Tier 1 historical DNA (Rel Score: 0.43),3.18,-0.29,NO
