Date,Symbol,Tier,Habitat Score,Trigger?,Explanation,Max %,Hit >=10%?
2026-01-01,ZBTUSDT,Tier S,0.636,YES,Elite Habitat (Tier S) with Trigger: Vol,18.78,YES
2026-01-02,ZBTUSDT,Tier B,0.594,NO,Elite Habitat (Tier B) with Not triggered,1.17,NO
2026-01-02,SAPIENUSDT,Tier B,0.584,NO,Elite Habitat (Tier B) with Not triggered,24.47,YES
2026-01-03,SAPIENUSDT,Tier B,0.584,NO,Elite Habitat (Tier B) with Not triggered,24.02,YES
2026-01-04,SAPIENUSDT,Tier B,0.585,YES,Elite Habitat (Tier B) with Trigger: Mom,7.93,NO
2026-01-08,BROCCOLI714USDT,Tier B,0.581,NO,Elite Habitat (Tier B) with Not triggered,22.85,YES
2026-01-10,WALUSDT,Tier A,0.6,YES,Elite Habitat (Tier A) with Trigger: Vol/Range/Mom,0.0,NO
2026-01-10,BROCCOLI714USDT,Tier B,0.591,YES,Elite Habitat (Tier B) with Trigger: Mom,0.86,NO
2026-01-10,TURTLEUSDT,Tier B,0.582,YES,Elite Habitat (Tier B) with Trigger: Range/Mom,2.17,NO
2026-01-11,WALUSDT,Tier B,0.591,NO,Elite Habitat (Tier B) with Not triggered,8.68,NO
2026-01-15,ASTERUSDT,Tier B,0.58,NO,Elite Habitat (Tier B) with Not triggered,2.56,NO
2026-01-16,BARDUSDT,Tier A,0.623,NO,Elite Habitat (Tier A) with Not triggered,1.02,NO
2026-01-16,GUNUSDT,Tier B,0.582,YES,Elite Habitat (Tier B) with Trigger: Mom,9.63,NO
2026-01-17,TOWNSUSDT,Tier B,0.591,YES,Elite Habitat (Tier B) with Trigger: Mom,2.08,NO
2026-01-17,BERAUSDT,Tier B,0.588,YES,Elite Habitat (Tier B) with Trigger: Mom,47.98,YES
2026-01-17,BARDUSDT,Tier A,0.66,NO,Elite Habitat (Tier A) with Not triggered,4.1,NO
2026-01-18,AUSDT,Tier A,0.642,NO,Elite Habitat (Tier A) with Not triggered,1.34,NO
2026-01-18,BARDUSDT,Tier B,0.589,NO,Elite Habitat (Tier B) with Not triggered,2.56,NO
2026-01-19,AUSDT,Tier B,0.587,NO,Elite Habitat (Tier B) with Not triggered,0.08,NO
2026-01-19,BARDUSDT,Tier B,0.582,NO,Elite Habitat (Tier B) with Not triggered,11.21,YES
2026-01-19,EURIUSDT,Tier B,0.592,YES,Elite Habitat (Tier B) with Trigger: Vol/Range/Mom,0.23,NO
2026-01-19,FDUSDUSDT,Tier A,0.601,YES,Elite Habitat (Tier A) with Trigger: Vol/Range,0.04,NO
2026-01-20,AUSDT,Tier B,0.586,NO,Elite Habitat (Tier B) with Not triggered,0.35,NO
2026-01-20,TURTLEUSDT,Tier A,0.61,NO,Elite Habitat (Tier A) with Not triggered,3.82,NO
2026-01-20,ALLOUSDT,Tier B,0.597,NO,Elite Habitat (Tier B) with Not triggered,1.68,NO
2026-01-21,KITEUSDT,Tier B,0.583,YES,Elite Habitat (Tier B) with Trigger: Mom,15.29,YES
2026-01-21,STOUSDT,Tier B,0.583,NO,Elite Habitat (Tier B) with Not triggered,4.1,NO
2026-01-21,TURTLEUSDT,Tier A,0.613,YES,Elite Habitat (Tier A) with Trigger: Vol/Range/Mom,5.09,NO
2026-01-21,EURIUSDT,Tier B,0.58,YES,Elite Habitat (Tier B) with Trigger: Mom,0.09,NO
2026-01-21,YBUSDT,Tier A,0.606,NO,Elite Habitat (Tier A) with Not triggered,7.58,NO
2026-01-21,FDUSDUSDT,Tier B,0.591,YES,Elite Habitat (Tier B) with Trigger: Range/Mom,0.04,NO
2026-01-21,ALLOUSDT,Tier A,0.602,NO,Elite Habitat (Tier A) with Not triggered,4.57,NO
2026-01-22,KITEUSDT,Tier B,0.587,NO,Elite Habitat (Tier B) with Not triggered,6.88,NO
2026-01-22,TURTLEUSDT,Tier B,0.584,NO,Elite Habitat (Tier B) with Not triggered,2.01,NO
2026-01-22,YBUSDT,Tier A,0.601,NO,Elite Habitat (Tier A) with Not triggered,3.33,NO
2026-01-23,KITEUSDT,Tier B,0.59,YES,Elite Habitat (Tier B) with Trigger: Range,11.31,YES
2026-01-23,BARDUSDT,Tier B,0.587,NO,Elite Habitat (Tier B) with Not triggered,0.88,NO
2026-01-23,TURTLEUSDT,Tier B,0.59,NO,Elite Habitat (Tier B) with Not triggered,6.13,NO
