Symbol,Total Expansions (23-25),Tier 1 Count,Tier 2 Count,Tier 3 Count,Avg Expansion %,Behavioral Notes
FORMUSDT,38,4,10,24,20.77,Standard volume profile.
MDTUSDT,156,33,118,5,20.53,Standard volume profile.
AUSDT,6,1,4,1,15.74,Standard volume profile.
STORJUSDT,73,17,52,4,18.78,Standard volume profile.
SAHARAUSDT,15,8,5,2,19.59,Standard volume profile.
VANRYUSDT,110,38,3,69,16.88,Standard volume profile.
OPUSDT,88,25,49,14,14.97,Standard volume profile.
SUNUSDT,51,8,13,30,22.96,Standard volume profile.
RENDERUSDT,41,11,4,26,15.26,Standard volume profile.
PENDLEUSDT,106,25,77,4,15.55,Standard volume profile.
CRVUSDT,94,28,64,2,15.25,Standard volume profile.
OGUSDT,124,10,81,33,23.42,Standard volume profile.
ETHFIUSDT,86,6,19,61,17.19,Standard volume profile.
USTCUSDT,113,7,15,91,21.74,Standard volume profile.
ALCXUSDT,97,4,21,72,21.03,Standard volume profile.
BCHUSDT,49,3,7,39,16.37,Standard volume profile.
BMTUSDT,35,15,12,8,17.55,Standard volume profile.
FLOKIUSDT,126,10,22,94,18.27,Standard volume profile.
HBARUSDT,83,7,20,56,17.36,Standard volume profile.
HYPERUSDT,34,1,32,1,32.46,Standard volume profile.
SANTOSUSDT,98,11,6,81,20.21,Standard volume profile.
IOTAUSDT,55,1,13,41,17.91,Standard volume profile.
KSMUSDT,58,16,3,39,17.67,Standard volume profile.
WANUSDT,69,3,12,54,17.05,Standard volume profile.
WUSDT,73,15,3,55,15.98,Standard volume profile.
ADXUSDT,67,43,19,5,21.72,Standard volume profile.
SANDUSDT,49,9,39,1,16.46,Standard volume profile.
ARBUSDT,61,22,28,11,14.43,Standard volume profile.
KAITOUSDT,48,4,40,4,20.42,Standard volume profile.
CKBUSDT,117,5,79,33,19.88,Standard volume profile.
TKOUSDT,80,55,22,3,16.21,Standard volume profile.
CGPTUSDT,42,24,17,1,13.95,Standard volume profile.
BANKUSDT,11,2,8,1,16.62,Standard volume profile.
1000CATUSDT,53,9,39,5,18.34,Standard volume profile.
MIRAUSDT,13,2,8,3,18.19,Standard volume profile.
KAVAUSDT,59,1,43,15,15.86,Standard volume profile.
SYNUSDT,133,22,5,106,19.55,Standard volume profile.
HOTUSDT,71,18,5,48,16.1,Standard volume profile.
SOLVUSDT,48,19,23,6,15.35,Standard volume profile.
OGNUSDT,79,2,57,20,19.35,Standard volume profile.
TRXUSDT,8,1,3,4,24.73,Standard volume profile.
WALUSDT,8,3,1,4,20.17,Standard volume profile.
BATUSDT,48,4,16,28,15.12,Standard volume profile.
SUSHIUSDT,75,12,2,61,17.16,Standard volume profile.
ORDIUSDT,107,47,13,47,17.1,Standard volume profile.
BANANAUSDT,70,17,2,51,18.47,Standard volume profile.
OPENUSDT,20,7,11,2,20.71,Standard volume profile.
