date,tier,rally_range_pct,rally_start_idx,rally_low,rally_high,f1_vol_spike,f1_atr_expansion,f1_detected,f2_green_ratio,f2_ema_aligned,f2_detected,f3_pullback_depth,f3_candles_to_pullback,f3_detected,f4_new_high_made,f4_recovery_candles
2025-03-02,SILVER,26.251025430680897,192,0.2438,0.3078,3.756322612039254,1.878048780487795,True,0.5,1.0,False,,0,False,False,20
2024-04-24,SILVER,36.923873640600746,192,0.1931,0.2644,2.674370553194152,0.9937106918239019,False,0.6875,1.0,True,-1.5873015873015817,6,True,True,20
2025-04-07,SILVER,19.863013698630127,192,0.146,0.175,3.144850387396405,1.333333333333331,True,0.4375,0.0,False,,0,False,False,20
2024-11-16,SILVER,20.230263157894733,192,0.1824,0.2193,2.1936667248192925,0.7222222222222223,False,0.5,1.0,False,-3.1820552947313674,2,True,True,20
2025-07-14,SILVER,18.18528402592452,192,0.2623,0.31,2.3406948883044154,1.0651085141903127,False,0.625,1.0,True,-2.1587998536406694,1,True,True,20
2024-11-24,SILVER,28.716744913928018,192,0.2556,0.329,1.7867091231834125,0.5127931769722812,False,0.625,0.6875,False,,0,False,False,20
2024-11-30,SILVER,21.76973353443943,192,0.3978,0.4844,1.987220027424645,1.2999999999999996,True,0.25,0.3125,False,-3.0971479500891186,1,True,False,20
2024-12-03,SILVER,21.829728120658864,192,0.5039,0.6139,1.6518861652490295,0.6175942549371635,False,0.625,0.875,True,-2.959590210586238,2,True,True,20
2025-01-20,SILVER,25.1303441084463,192,0.3836,0.48,3.959973759233878,2.278481012658222,True,0.5,0.0625,False,,0,False,False,20
2025-08-22,SILVER,12.709030100334463,192,0.2392,0.2696,2.5001733658495056,0.8597285067873296,False,0.4375,0.0,False,-0.48115477145148633,2,False,True,20
2024-12-09,SILVER,43.247912467607264,192,0.3473,0.4975,1.6538287814478196,0.9770833333333301,False,0.375,0.0625,False,,0,False,False,20
2024-12-06,SILVER,19.786096256684505,192,0.4301,0.5152,4.023826041488462,1.5074441687344942,True,0.5,0.0,False,-0.8155168613621311,1,False,True,20
2025-03-04,SILVER,12.482662968099856,192,0.2163,0.2433,3.135057742196729,0.7456140350877202,False,0.3125,0.0,False,-1.1235955056179803,1,True,False,20
2024-12-01,SILVER,23.807274444969305,192,0.4234,0.5242,2.4745819534690283,1.236966824644548,True,0.375,0.0,False,,0,False,False,20
2024-12-20,SILVER,26.105412097629998,192,0.2827,0.3565,2.0362852869373307,0.6809145129224654,False,0.5625,0.6875,False,,0,False,False,20
2024-11-26,SILVER,19.218500797448158,192,0.2508,0.299,2.706062613708221,1.0176600441501098,False,0.5625,0.5,False,-1.0158013544018019,2,True,True,20
2024-11-18,SILVER,27.588105726872225,192,0.1816,0.2317,3.079505400650223,1.032110091743122,False,0.8125,0.6875,False,,0,False,False,20
