symbol,total,wins,fail,neg,diamond,gold,silver,bronze,win_rate
AVNTUSDT,114,51,63,72,4,6,17,24,44.73684210526316
HEMIUSDT,95,40,55,57,2,5,3,30,42.10526315789473
ATUSDT,36,15,21,20,1,0,8,6,41.66666666666667
XPLUSDT,107,44,63,60,1,3,11,29,41.1214953271028
BANKUSDT,56,23,33,32,0,3,5,15,41.07142857142857
EDENUSDT,118,46,72,67,2,2,19,23,38.983050847457626
GIGGLEUSDT,59,23,36,35,6,2,7,8,38.983050847457626
MMTUSDT,49,19,30,33,3,1,5,10,38.775510204081634
BIOUSDT,422,163,259,242,9,16,43,95,38.62559241706161
SPKUSDT,238,88,150,136,10,4,28,46,36.97478991596639
0GUSDT,103,38,65,67,6,4,14,14,36.89320388349515
AIXBTUSDT,417,152,265,224,5,16,51,80,36.45083932853717
SHELLUSDT,384,136,248,204,1,7,31,97,35.41666666666667
TURBOUSDT,523,185,338,279,4,13,70,98,35.37284894837477
SOMIUSDT,139,49,90,77,7,6,15,21,35.25179856115108
COOKIEUSDT,428,150,278,227,4,4,52,90,35.046728971962615
ENSOUSDT,103,36,67,55,3,1,11,21,34.95145631067961
YBUSDT,86,30,56,44,0,0,9,21,34.883720930232556
BBUSDT,688,239,449,357,4,8,67,160,34.73837209302326
RESOLVUSDT,245,85,160,133,12,9,24,40,34.69387755102041
MITOUSDT,150,51,99,88,5,5,10,31,34.0
FUSDT,62,21,41,41,0,1,13,7,33.87096774193548
KITEUSDT,83,28,55,48,1,2,4,21,33.734939759036145
MUBARAKUSDT,318,107,211,160,4,8,31,64,33.64779874213836
VIRTUALUSDT,295,98,197,151,0,13,25,60,33.220338983050844
PENGUUSDT,441,146,295,262,3,8,39,96,33.10657596371882
OPENUSDT,133,44,89,84,1,8,15,20,33.08270676691729
PNUTUSDT,507,166,341,274,9,13,57,87,32.74161735700197
NEIROUSDT,575,188,387,310,10,10,59,109,32.69565217391304
ZKCUSDT,95,31,64,62,4,2,12,13,32.631578947368425
DOLOUSDT,133,43,90,83,0,3,14,26,32.33082706766917
RAYUSDT,1399,450,949,712,15,33,119,283,32.16583273766977
GPSUSDT,343,109,234,195,4,5,28,72,31.778425655976676
WIFUSDT,809,256,553,418,2,11,76,167,31.64400494437577
BROCCOLI714USDT,334,105,229,174,8,10,26,61,31.437125748502993
TSTUSDT,382,120,262,225,5,4,39,72,31.413612565445025
FFUSDT,102,32,70,59,0,1,9,22,31.372549019607842
MIRAUSDT,109,34,75,64,1,2,8,23,31.19266055045872
USUALUSDT,450,139,311,245,4,10,43,82,30.88888888888889
KAITOUSDT,364,112,252,201,11,12,28,61,30.76923076923077
NILUSDT,351,108,243,193,1,7,33,67,30.76923076923077
ACTUSDT,501,154,347,278,7,8,39,100,30.738522954091817
SAPIENUSDT,59,18,41,46,5,3,4,6,30.508474576271187
LISTAUSDT,689,210,479,362,9,8,65,128,30.478955007256893
PUMPUSDT,129,39,90,70,0,1,12,26,30.23255813953488
ALLOUSDT,53,16,37,34,2,1,5,8,30.18867924528302
INITUSDT,306,92,214,149,3,9,32,48,30.065359477124183
KERNELUSDT,336,101,235,174,6,2,30,63,30.059523809523807
EIGENUSDT,539,162,377,301,1,7,47,107,30.0556586270872
TURTLEUSDT,77,23,54,49,0,3,6,14,29.87012987012987
PARTIUSDT,342,101,241,185,9,11,23,58,29.53216374269006
1000SATSUSDT,864,255,609,449,10,12,72,161,29.51388888888889
LINEAUSDT,126,37,89,71,0,2,10,25,29.365079365079367
ENAUSDT,744,218,526,386,3,4,61,150,29.301075268817208
BONKUSDT,869,253,616,500,2,12,69,170,29.11392405063291
COWUSDT,503,146,357,247,7,7,36,96,29.025844930417495
2ZUSDT,90,26,64,56,2,0,9,15,28.888888888888886
HUMAUSDT,267,77,190,142,0,2,23,52,28.83895131086142
CUSDT,200,57,143,117,2,6,18,31,28.499999999999996
BANANAS31USDT,372,106,266,197,14,12,24,56,28.49462365591398
LAUSDT,213,60,153,122,2,3,21,34,28.169014084507044
BERAUSDT,412,116,296,207,1,1,32,82,28.155339805825243
PEPEUSDT,1031,290,741,560,7,21,72,190,28.12803103782735
REZUSDT,737,204,533,397,6,13,52,133,27.6797829036635
METUSDT,62,17,45,33,0,0,6,11,27.419354838709676
SYNUSDT,1264,346,918,702,10,26,90,220,27.37341772151899
GUNUSDT,318,87,231,163,5,4,27,51,27.358490566037734
TREEUSDT,173,47,126,104,1,3,12,31,27.167630057803464
VANRYUSDT,835,224,611,444,4,6,62,152,26.82634730538922
MAVUSDT,1150,307,843,626,8,13,57,229,26.695652173913043
BTTCUSDT,304,81,223,150,6,9,18,48,26.644736842105267
THEUSDT,473,126,347,270,8,7,41,70,26.6384778012685
1000CATUSDT,452,120,332,235,7,9,32,72,26.548672566371685
IOUSDT,664,176,488,368,2,5,36,133,26.506024096385545
SCRUSDT,515,136,379,273,0,1,34,101,26.407766990291265
FTTUSDT,910,240,670,571,10,23,80,127,26.373626373626376
ALTUSDT,862,226,636,453,3,12,45,166,26.218097447795824
REDUSDT,378,99,279,209,12,2,28,57,26.190476190476193
ORDIUSDT,995,259,736,529,6,4,79,170,26.030150753768844
SUPERUSDT,1328,345,983,688,15,19,89,222,25.978915662650603
TUTUSDT,347,90,257,197,3,10,21,56,25.936599423631122
PROVEUSDT,170,44,126,92,4,0,7,33,25.882352941176475
WALUSDT,89,23,66,55,0,2,9,12,25.842696629213485
AIUSDT,910,235,675,472,1,7,58,169,25.82417582417583
TRUUSDT,1350,347,1003,681,12,11,75,249,25.703703703703706
JTOUSDT,916,235,681,482,4,5,58,168,25.655021834061138
LUMIAUSDT,520,133,387,295,8,6,38,81,25.576923076923073
HYPERUSDT,326,83,243,192,11,4,16,52,25.4601226993865
HOLOUSDT,126,32,94,77,1,0,4,27,25.396825396825395
FETUSDT,1275,323,952,684,4,9,73,237,25.333333333333336
NOMUSDT,91,23,68,65,0,2,7,14,25.274725274725274
VANAUSDT,479,120,359,254,3,10,31,76,25.052192066805844
