combo,count,tier_rate,avg_peak
pos_green + vboy_7plus + v21_9plus + atr_3plus,6,100.0,17.515161306396504
pos_green + v21_9plus + vmom_1_2plus + atr_3plus,5,100.0,13.865608610973496
is_ayas + vboy_8plus + atr_2plus + adx_50plus,3,100.0,7.973476124571222
pos_green + vboy_8plus + v21_7plus + atr_3plus,8,100.0,12.693511132396212
pos_green + rsi_ang_high + v21_9plus + atr_3plus,7,100.0,15.78335906244431
pos_green + v21_9plus + vmom_1_5plus + atr_3plus,5,100.0,13.865608610973496
pos_green + v21_9plus + atr_3plus + adx_40plus,3,100.0,15.617052507663956
pos_green + v21_9plus + vmom_2plus + atr_3plus,3,100.0,17.608128781675067
pos_green + vboy_8plus + v21_9plus + atr_3plus,4,100.0,15.469680786491912
pos_green + rsi_ang_pos + v21_9plus + atr_3plus,7,100.0,15.78335906244431
pos_green + vboy_7plus + v21_7plus + atr_3plus,11,100.0,13.751746317384182
is_ayas + vrsi_10plus + atr_2plus + adx_50plus,4,100.0,10.620613177408488
pos_green + v100_9plus + v21_9plus + atr_3plus,8,87.5,14.02268225381214
pos_green + v21_9plus + atr_3plus,8,87.5,14.02268225381214
pos_green + v21_9plus + atr_3plus + atr_2plus,8,87.5,14.02268225381214
pos_green + v21_9plus + atr_3plus + atr_1_5plus,8,87.5,14.02268225381214
pos_green + pos_yellow_plus + v21_9plus + atr_3plus,8,87.5,14.02268225381214
pos_green + v100_5plus + v21_9plus + atr_3plus,8,87.5,14.02268225381214
trend_1plus + pos_green + v21_9plus + atr_3plus,8,87.5,14.02268225381214
pos_green + v21_9plus + v21_7plus + atr_3plus,8,87.5,14.02268225381214
trend_2 + pos_green + v21_9plus + atr_3plus,8,87.5,14.02268225381214
is_ayas + vboy_8plus + atr_2plus,6,83.33333333333334,8.20206102778606
vboy_7plus + v21_7plus + atr_3plus,27,74.07407407407408,11.27385135089847
vboy_7plus + v21_9plus + atr_3plus,15,73.33333333333333,13.51346153990137
vboy_8plus + v21_7plus + atr_3plus,21,71.42857142857143,11.19691166020964
is_ayas + vrsi_10plus + atr_2plus,13,69.23076923076923,7.203042206245103
vboy_8plus + v21_9plus + atr_3plus,12,66.66666666666666,12.664590066041805
pos_green + v21_7plus + atr_3plus,21,66.66666666666666,10.296756185827464
vboy_7plus + v21_5plus + atr_3plus,43,65.11627906976744,10.818197668324045
vboy_5plus + v21_9plus + atr_3plus,20,65.0,11.006825918944353
pos_green + vboy_8plus + atr_3plus,20,65.0,7.4180090239528385
is_ayas + v21_5plus + atr_2plus,17,64.70588235294117,6.5264908127779195
pos_green + vboy_7plus + atr_3plus,31,64.51612903225806,10.44159769608357
vboy_7plus + v21_9plus + atr_2plus,56,64.28571428571429,10.345159572372255
vboy_5plus + v21_7plus + atr_3plus,39,64.1025641025641,10.326077790482021
pos_green + v21_9plus + atr_2plus,25,64.0,16.63996124954861
pos_green + vmom_2plus + atr_3plus,11,63.63636363636363,11.260656081393474
is_ayas + v100_7plus + atr_2plus,11,63.63636363636363,6.282621409078626
is_ayas + atr_2plus + adx_50plus,11,63.63636363636363,9.418481115388184
vboy_8plus + v21_5plus + atr_3plus,30,63.33333333333333,8.908330961077704
v21_7plus + atr_3plus,47,59.57446808510638,9.457809411189272
vboy_7plus + atr_3plus,58,58.620689655172406,9.225682093867736
v21_9plus + atr_3plus,24,58.333333333333336,10.014389620024396
vboy_8plus + atr_3plus,40,57.49999999999999,7.740001550759894
v21_9plus + atr_2plus,100,56.00000000000001,10.472170597125801
pos_green + atr_3plus,67,53.73134328358209,8.047062608987025
v21_5plus + atr_3plus,88,53.40909090909091,8.709068176410904
vmom_1_2plus + atr_3plus,66,53.03030303030303,7.522940900346259
vboy_5plus + atr_3plus,99,52.52525252525253,7.924282741870947
ang_pos + atr_3plus,109,52.293577981651374,8.013216797759029
vrsi_9plus + atr_3plus,115,52.17391304347826,7.99152429394583
vmom_1_5plus + atr_3plus,48,52.083333333333336,8.150805999693352
is_ayas + atr_2plus,25,52.0,6.830064447747479
vrsi_10plus + atr_3plus,108,51.85185185185185,7.940146063735818
v100_9plus + atr_3plus,91,51.64835164835166,8.504265845842765
v100_5plus + atr_3plus,126,51.587301587301596,7.783645608037228
vrsi_7plus + atr_3plus,128,51.5625,7.731781483861964
rsi_ang_high + atr_3plus,86,51.162790697674424,7.046119080237612
atr_3plus + atr_1_5plus,135,51.11111111111111,7.624387486988949
atr_3plus + atr_2plus,135,51.11111111111111,7.624387486988949
atr_3plus,135,51.11111111111111,7.624387486988949
atr_2plus,477,43.39622641509434,6.911341378370042
atr_1_5plus,1024,32.12890625,5.3484522523921925
v100_9plus,4409,11.748695849398956,2.5195255292339653
v21_9plus,3875,10.296774193548387,2.3453596389114693
is_ayas,536,9.888059701492537,2.0542059057890967
v100_7plus,7091,9.646030179100268,2.24298923902807
vrsi_10plus,7370,9.60651289009498,2.228251841097388
vrsi_9plus,8761,8.788951032987102,2.106458322123454
v21_7plus,6566,8.650624428876027,2.09318642026444
v100_5plus,11643,7.669844541784763,1.9399770086691195
vrsi_7plus,12052,7.54231662794557,1.920779819032207
v21_5plus,11537,7.029557077229782,1.8503833816119921
trend_2,11908,6.575411488075243,1.7605881263825072
vmom_2plus,6351,6.4556762714533145,1.7389525752828368
vmom_1_5plus,10341,6.275988782516198,1.704962140716697
pos_green,5663,6.233445170404379,1.7150827817949135
vboy_7plus,9988,5.997196635963156,1.6195890321138122
vmom_1_2plus,13636,5.940158404224113,1.6567406569844816
vboy_8plus,6551,5.800641123492597,1.5686868131132672
vboy_5plus,16509,5.663577442607063,1.5948999091998814
adx_50plus,6816,5.648474178403756,1.7001234582883977
trend_1plus,18415,5.533532446375237,1.5924378718705563
pos_yellow_plus,17493,5.505059166523752,1.5853374855802789
adx_40plus,12255,5.3529171766625865,1.6007928592663196
rsi_ang_high,18421,5.195157700450573,1.5419248222883954
adx_25plus,19149,5.117760718575382,1.540362882120159
rsi_ang_pos,21028,5.097964618603766,1.5337603597682272
ribbon_above,17735,4.9619396673245,1.5082417208889534
ang_pos,20467,4.939658963209069,1.5072544311943872
ang_high,12246,4.254450432794382,1.3888873535656718
