combo,size,caught,precision,days,triggered,score
ayas + pos_yg + vboy7 + v21_9,4,14,30.4,11,46,82.32472611350718
ayas + trend2 + vboy7 + v21_9,4,13,31.0,10,42,81.81077721807301
ayas + vboy7 + v100_9 + v21_9,4,16,28.6,13,56,81.0299016400078
ayas + trend2 + vboy7 + v100_9,4,15,27.8,11,54,77.07796647826592
ayas + trend2 + v100_9,3,23,24.0,11,96,76.2732919283507
ayas + vboy7 + v100_9,3,19,24.7,14,77,73.99458715678357
ayas + v100_9,2,28,21.7,14,129,73.07031951070648
ayas + vboy7 + v21_9,3,17,23.6,13,72,68.21277348634949
ayas + trend2 + rang45 + vrsi10 + vboy7,5,17,23.6,11,72,68.21277348634949
ayas + trend2 + rang10 + vrsi10 + vboy7,5,17,23.0,11,74,66.47855043161178
ayas + vrsi10,2,35,17.3,17,202,61.994877635290706
ayas + ang3 + v100_9,3,12,24.0,8,50,61.558784579076885
ayas + v21_9,2,22,19.3,13,114,60.51503836743259
ayas + v100_7,2,32,16.6,14,193,58.04202552034358
ayas + ang3 + v21_9,3,10,23.3,7,43,55.87095985620204
ayas + vrsi9,2,36,15.4,18,234,55.608135854721056
ayas + pos_green + ang0 + rang45 + vrsi9,5,8,24.2,7,33,53.172834771536515
ayas + pos_green + ang0 + rang45 + vrsi10,5,7,24.1,6,29,50.114541154484044
ayas + pos_green + ang0 + v21_9,4,3,27.3,3,11,37.84583605857301
ayas + trend2 + trend1 + pos_green + ang3 + vrsi7 + vboy7,7,2,33.3,2,6,36.58378921264805
ayas + trend2 + pos_green + ang3 + rang10 + vrsi7 + vboy7,7,2,33.3,2,6,36.58378921264805
ayas + trend2 + pos_green + ang3 + ang0 + vrsi7 + vboy7,7,2,33.3,2,6,36.58378921264805
ayas + trend2 + pos_green + pos_yg + ang3 + vrsi7 + vboy7,7,2,33.3,2,6,36.58378921264805
ayas + trend2 + pos_green + ang3 + vrsi7 + vboy7 + vboy5,7,2,33.3,2,6,36.58378921264805
ayas + trend2 + pos_green + ang3 + vrsi7 + vboy7,6,2,33.3,2,6,36.58378921264805
ayas + pos_green + ang3 + rang10 + vrsi7 + vboy7,6,2,28.6,2,7,31.420311455907942
ayas + pos_green + ang3 + ang0 + vrsi7 + vboy7,6,2,28.6,2,7,31.420311455907942
ayas + pos_green + pos_yg + ang3 + vrsi7 + vboy7,6,2,28.6,2,7,31.420311455907942
ayas + trend1 + pos_green + ang3 + vrsi7 + vboy7,6,2,28.6,2,7,31.420311455907942
ayas + pos_green + ang3 + vrsi7 + vboy7,5,2,28.6,2,7,31.420311455907942
