,success,status,order_id,symbol,action,filled_qty,filled_price,commission,timestamp,error_message
0,True,FILLED,sim_843cbe89,BTCUSDT,BUY,0.008438818565400843,118500.0,0.9999999999999999,2025-12-08 00:01:41.794543,
1,True,FILLED,sim_0010838a,BTCUSDT,SELL,0.008438818565400843,112379.58,0.9483508860759494,2025-12-08 00:01:41.852117,
2,True,FILLED,sim_b8667a73,BTCUSDT,BUY,0.008588683667119231,115808.23,0.9946402535189873,2025-12-08 00:01:41.853810,
3,True,FILLED,sim_650687b2,BTCUSDT,SELL,0.008588683667119231,109561.96,0.9409930163895706,2025-12-08 00:01:41.867385,
4,True,FILLED,sim_e8c6134d,BTCUSDT,BUY,0.008966938098614135,110303.2,0.9890819664790546,2025-12-08 00:01:41.871325,
5,True,FILLED,sim_38978523,BTCUSDT,SELL,0.008966938098614135,104531.35,0.9373261448145687,2025-12-08 00:01:42.227204,
6,True,FILLED,sim_26d60662,BTCUSDT,BUY,0.009308091572680038,105683.72,0.9837137435014768,2025-12-08 00:01:42.227424,
7,True,FILLED,sim_e76089db,BTCUSDT,SELL,0.009308091572680038,100311.46,0.9337082554692309,2025-12-08 00:01:42.291965,
8,True,FILLED,sim_da59c10e,BTCUSDT,BUY,0.009660048312987342,101295.71,0.9785214524983551,2025-12-08 00:01:42.292110,
9,True,FILLED,sim_f209d208,BTCUSDT,SELL,0.009660048312987342,96167.44,0.9289821165363115,2025-12-08 00:01:42.325916,
10,True,FILLED,sim_1a365ee8,BTCUSDT,BUY,0.010082378003787014,96542.38,0.9733767685452475,2025-12-08 00:01:42.326190,
11,True,FILLED,sim_833b9e8a,BTCUSDT,SELL,0.010082378003787014,91678.93,0.9243416272427293,2025-12-08 00:01:42.337316,
12,True,FILLED,sim_ef02ea91,BTCUSDT,BUY,0.010614815638844735,91220.0,0.9682834825754167,2025-12-08 00:01:42.338260,
13,True,FILLED,sim_a7b2eb01,BTCUSDT,SELL,0.010614815638844735,86486.27,0.9180358113413484,2025-12-08 00:01:42.346363,
14,True,FILLED,sim_031d3c18,BTCUSDT,BUY,0.01093578011486864,88065.97,0.9630700835226182,2025-12-08 00:01:42.346735,
15,True,FILLED,sim_81131b5d,BTCUSDT,SELL,0.01093578011486864,83643.45,0.9147063772490093,2025-12-08 00:01:42.348543,
16,True,FILLED,sim_4a86230e,BTCUSDT,BUY,0.010909198658132472,87820.01,0.9580459352491802,2025-12-08 00:01:42.359206,
